Width,Depth,w_h,d50,H,L,U,D_d50,ws,KD,Lsat_D,Lsat_d50,Lsat_b_D,Th,Thc,DelTh,ust,P,Ret,Lsat_b,Lsat_s
0.76,0.15,5.1,0.00054,0.066,1.25,0.43,277.7777778,0.076421583,0.753982237,2.744073831,16.35891583,0.058892097,0.065528651,0.030986951,0.034541699,0.023920348,7.987089183,12.91698817,0.008833815,0.411611075
1,0.152,6.6,0.00055,0.0657,1.26,0.587,276.3636364,0.077741672,0.757971561,3.696319004,22.02203233,0.079684985,0.120065529,0.03091715,0.089148379,0.032677252,5.947690489,17.97248845,0.012112118,0.561840489
1.22,0.3,4.1,0.0004,0.101,2.469,0.77,750,0.056415609,0.763449005,6.687872851,32.72281597,0.043630421,0.218989487,0.03464567,0.184343817,0.037635409,3.747508726,15.05416357,0.013089126,2.006361855
2.44,0.16,15.3,0.00047,0.073,1.314,0.59,340.4255319,0.066785464,0.765075836,4.319183678,24.3928101,0.07165388,0.134050463,0.032069345,0.101981118,0.031918178,5.230989654,15.00154384,0.011464621,0.691069388
2.44,0.19,12.8,0.00019,0.055,1.55,0.51,1000,0.021523872,0.770196909,11.37945498,37.98138635,0.037981386,0.188746853,0.066036224,0.122710629,0.024080842,2.234543145,4.575359996,0.007216463,2.162096446
0.36,0.199,1.8,0.00053,0.07,1.62,0.66,375.4716981,0.075087776,0.77182338,4.308177364,24.46209935,0.065150315,0.144890165,0.031074975,0.11381519,0.035238093,5.327173657,18.6761893,0.012964913,0.857327295
2.44,0.28,8.7,0.00093,0.098,2.26,0.92,301.0752688,0.119772555,0.778447737,3.784234171,22.40604397,0.074420075,0.170335853,0.034251084,0.136084769,0.050611536,5.916267541,47.06872861,0.020837621,1.059585568
0.76,0.137,5.5,0.00054,0.062,1.1,0.48,253.7037037,0.076421583,0.78254217,3.066969421,18.49428136,0.072897167,0.083752371,0.030986951,0.05276542,0.027042725,7.06489304,14.60307126,0.009986912,0.420174811
1.22,0.31,3.9,0.0004,0.088,2.469,0.87,775,0.056415609,0.788897305,7.565587362,36.82498628,0.047516111,0.277336554,0.03464567,0.242690884,0.042353428,3.330049806,16.94137104,0.014729995,2.345332082
0.3,0.15,2,0.00135,0.013,1.19,0.5,111.1111111,0.154504728,0.791998148,1.589881732,10.47379042,0.094264114,0.046547242,0.040353311,0.006193931,0.031876371,12.11749677,43.03310063,0.014139617,0.23848226
0.76,0.19,4,0.00054,0.047,1.5,0.34,351.8518519,0.076421583,0.795870139,2.163013292,12.52325457,0.035592408,0.038402244,0.030986951,0.007415293,0.018311764,10.43339964,9.888352796,0.006762557,0.410972525
1.22,0.24,5.1,0.0004,0.082,1.89,0.6,600,0.056415609,0.797864801,5.194985663,26.21303737,0.043688396,0.140525979,0.03464567,0.105880309,0.030148334,4.678169747,12.05933354,0.010485215,1.246796559
2.44,0.2,12.2,0.00047,0.088,1.561,0.51,425.5319149,0.066785464,0.805020539,3.72822597,20.46761046,0.048098885,0.094379774,0.032069345,0.062310429,0.026782025,6.234168738,12.58755159,0.009619777,0.745645194
0.36,0.2,1.8,0.00053,0.068,1.56,0.66,377.3584906,0.075087776,0.805536578,4.308209184,24.44574362,0.064781221,0.144696478,0.031074975,0.113621503,0.035214532,5.330737868,18.66370212,0.012956244,0.861641837
2.44,0.23,10.6,0.00047,0.082,1.789,0.62,489.3617021,0.066785464,0.807787938,4.543700674,24.43386666,0.049930075,0.134502094,0.032069345,0.102432749,0.031971901,5.222199952,15.02679356,0.011483917,1.045051155
0.36,0.206,1.7,0.00053,0.064,1.59,0.68,388.6792453,0.075087776,0.814047908,4.440138761,25.08760829,0.064545788,0.152394739,0.031074975,0.121319764,0.03613915,5.194351319,19.15374943,0.013296432,0.914668585
1,0.152,6.6,0.0005,0.048,1.172,0.501,304,0.071001967,0.814884101,3.44507553,20.01927732,0.065852886,0.093705423,0.031462566,0.062242857,0.027524686,6.448935241,13.76234307,0.010009639,0.523651481
2.44,0.31,2,0.00028,0.104,2.38,0.64,1107.142857,0.036942404,0.818398086,8.433013708,34.53585526,0.031193676,0.196934218,0.04559398,0.151340238,0.029860331,3.092933196,8.360892668,0.009670039,2.614234249
2.44,0.3,8.1,0.00045,0.158,2.29,0.52,666.6666667,0.063899546,0.823124713,3.974268184,20.40502636,0.03060754,0.091387703,0.032620478,0.058767225,0.025787257,6.194876243,11.60426562,0.009182262,1.192280455
2.44,0.32,1.9,0.00019,0.198,2.44,0.6,1684.210526,0.021523872,0.824024303,13.4540518,42.09372026,0.024993146,0.231831644,0.066036224,0.16579542,0.026688131,2.016240094,5.070744971,0.007997807,4.305296576
0.61,0.16,15.3,0.00033,0.046,1.22,0.63,484.8484848,0.045295113,0.824024303,6.778555596,32.98581854,0.068033251,0.198266266,0.039650623,0.158615643,0.03252643,3.481408352,10.73372177,0.01088532,1.084568895
1.22,0.3,4.1,0.0004,0.079,2.286,0.89,750,0.056415609,0.824565001,7.740770802,37.8224756,0.050429967,0.292564637,0.03464567,0.257918966,0.043500667,3.242226651,17.40026698,0.01512899,2.322231241
2.44,0.18,13.6,0.00093,0.058,1.37,0.65,193.5483871,0.119772555,0.825527997,2.667477756,16.85453752,0.087081777,0.096384985,0.034251084,0.062133901,0.038071604,7.864953311,35.40659178,0.01567472,0.480145996
0.3,0.1,3,0.0003,0.03,0.76,0.6,333.3333333,0.040318188,0.826734909,7.232118434,35.62712113,0.106881363,0.218433953,0.042910439,0.175523514,0.032551853,3.096458769,9.765555782,0.010688136,0.723211843
0.76,0.11,6.9,0.0011,0.027,0.83,0.5,100,0.134889349,0.832711306,1.818667918,12.54907132,0.125490713,0.059094181,0.036746054,0.022348127,0.032420799,10.40145163,35.66287875,0.013803978,0.200053471
0.3,0.15,2,0.00135,0.032,1.13,0.52,111.1111111,0.154504728,0.834051147,1.653787194,10.89274204,0.098034678,0.050345497,0.040353311,0.009992185,0.033151426,11.6514392,44.75442466,0.014705202,0.248068079
0.3,0.1,3,0.0003,0.015,0.75,0.8,333.3333333,0.040318188,0.837758041,9.683857024,47.50282817,0.142508485,0.388327028,0.042910439,0.345416589,0.022604884,8.451888288,12.20663749,0.014250848,0.968385702
0.76,0.16,4.8,0.00054,0.054,1.2,0.41,296.2962963,0.076421583,0.837758041,2.61502227,15.45928143,0.052175075,0.058519525,0.030986951,0.027532574,0.04340247,2.322344077,13.02074104,0.008348012,0.418403563
1.22,0.3,4.1,0.0004,0.052,2.225,1.12,750,0.056415609,0.847171053,9.759053641,47.59682322,0.063462431,0.463316602,0.03464567,0.428670931,0.054742413,2.576412249,21.89696519,0.019038729,2.927716092
